iter	Passed	Remaining
0	146	29124
1	152	15112
2	161	10585
3	171	8394
4	180	7022
5	188	6092
6	197	5434
7	204	4919
8	213	4534
9	221	4217
10	229	3947
11	239	3749
12	246	3549
13	254	3387
14	263	3246
15	271	3127
16	280	3017
17	288	2912
18	295	2815
19	303	2729
20	311	2658
21	321	2603
22	331	2550
23	340	2499
24	349	2447
25	357	2394
26	367	2354
27	375	2309
28	383	2258
29	393	2227
30	401	2186
31	411	2158
32	420	2127
33	428	2091
34	437	2063
35	446	2033
36	455	2007
37	465	1983
38	475	1961
39	485	1941
40	495	1921
41	504	1897
42	513	1876
43	522	1853
44	530	1827
45	539	1806
46	548	1785
47	556	1763
48	565	1741
49	575	1727
50	584	1707
51	593	1688
52	602	1671
53	611	1651
54	618	1629
55	627	1612
56	637	1599
57	646	1581
58	655	1565
59	664	1549
60	672	1532
61	681	1516
62	692	1506
63	701	1490
64	708	1471
65	720	1462
66	730	1449
67	738	1432
68	747	1418
69	755	1402
70	764	1389
71	772	1373
72	781	1360
73	790	1346
74	799	1332
75	807	1318
76	817	1305
77	827	1293
78	836	1281
79	845	1268
80	855	1256
81	864	1243
82	873	1231
83	881	1216
84	890	1204
85	899	1192
86	908	1180
87	918	1168
88	928	1157
89	937	1145
90	946	1134
91	955	1122
92	965	1111
93	975	1099
94	986	1090
95	994	1077
96	1004	1066
97	1013	1055
98	1024	1044
99	1034	1034
100	1044	1023
101	1056	1015
102	1067	1005
103	1077	995
104	1086	983
105	1096	972
106	1105	961
107	1114	949
108	1123	938
109	1132	926
110	1141	915
111	1151	904
112	1160	893
113	1168	881
114	1178	871
115	1186	859
116	1196	849
117	1205	837
118	1214	826
119	1222	814
120	1230	803
121	1238	791
122	1246	780
123	1254	768
124	1265	759
125	1273	747
126	1281	736
127	1290	725
128	1297	714
129	1306	703
130	1314	692
131	1323	681
132	1333	671
133	1341	660
134	1350	650
135	1357	638
136	1366	628
137	1375	617
138	1382	606
139	1390	596
140	1399	585
141	1407	575
142	1416	564
143	1424	553
144	1433	543
145	1440	532
146	1449	522
147	1459	512
148	1469	502
149	1476	492
150	1484	481
151	1492	471
152	1501	461
153	1509	450
154	1517	440
155	1525	430
156	1534	420
157	1544	410
158	1552	400
159	1560	390
160	1568	380
161	1578	370
162	1586	360
163	1594	349
164	1602	339
165	1612	330
166	1622	320
167	1633	311
168	1643	301
169	1651	291
170	1660	281
171	1668	271
172	1679	262
173	1687	252
174	1697	242
175	1707	232
176	1715	222
177	1724	213
178	1732	203
179	1740	193
180	1750	183
181	1758	173
182	1769	164
183	1777	154
184	1785	144
185	1794	135
186	1804	125
187	1812	115
188	1822	106
189	1831	96
190	1840	86
191	1850	77
192	1860	67
193	1870	57
194	1880	48
195	1889	38
196	1898	28
197	1910	19
198	1919	9
199	1927	0
