bin,n,mean_predicted_probability,observed_frequency,calibration_gap
0,558,0.049765023895463334,0.12544802867383512,-0.07568300477837178
1,557,0.06704024402216469,0.05206463195691203,0.014975612065252657
2,557,0.07696652162722664,0.04129263913824058,0.035673882488986064
3,557,0.08273447680539127,0.05026929982046679,0.03246517698492448
4,557,0.08739361984151643,0.03949730700179533,0.0478963128397211
5,557,0.09374327511760716,0.06283662477558348,0.03090665034202368
6,556,0.16596707178072626,0.15467625899280577,0.01129081278792049
7,558,0.3598612572761361,0.33154121863799285,0.028320038638143252
8,557,0.48322211152103867,0.3985637342908438,0.08465837723019487
9,557,0.7299497422407962,0.6750448833034112,0.05490485893738506
