split,model,roc_auc,pr_auc,brier
month_aware,LogReg,0.8247647117201682,0.5700267152066236,0.29819152739321503
month_aware,NaiveBayes,0.7676853877294475,0.47039227899888353,0.24915704220525953
month_aware,KNN,0.7914357547212723,0.5384009823836561,0.11770606506943147
month_aware,DecisionTree,0.7762508735439213,0.508963385634197,0.29093886380314665
month_aware,RandomForest,0.792641452088442,0.5606865776594501,0.22587502673810614
month_aware,ExtraTrees,0.7951419586405383,0.5658476167518182,0.2575307737134591
month_aware,XGBoost,0.7804845119112108,0.5440054495083292,0.12094510158797951
month_aware,LightGBM,0.7190462554428505,0.48464790341447667,0.14947750321663072
month_aware,CatBoost,0.7938429109584793,0.5566444651311847,0.1165588697871884
month_aware,AdaBoost,0.7903184455260077,0.5038848182963382,0.12556406324062197
month_aware,GradientBoosting,0.8064764236181465,0.5598032393514197,0.11535279092264356
month_aware,MLP,0.6535031695688311,0.38277051826685404,0.20194458705220417
random,LogReg,0.8009417454832776,0.45998241774839504,0.16164861950832993
random,NaiveBayes,0.7756101408085286,0.3637486473147638,0.1340748895024477
random,KNN,0.7661920963252984,0.3941045567993194,0.0824245959364306
random,DecisionTree,0.7902178463606774,0.44627493821792646,0.15989915705701524
random,RandomForest,0.8113068423038823,0.48949559762839934,0.15253426943801243
random,ExtraTrees,0.8064340446483325,0.4743751100230285,0.16097302082363185
random,XGBoost,0.8092948812443983,0.4829796151372839,0.0750501682634358
random,LightGBM,0.8094804737251757,0.48389600365882074,0.07547040032996848
random,CatBoost,0.8158913008868343,0.4959823740868261,0.07414585325807425
random,AdaBoost,0.790467415915845,0.4301702650415636,0.08954423623453119
random,GradientBoosting,0.8117727398698051,0.4836022481695555,0.07483495595546451
random,MLP,0.6977097239256569,0.3163364018407886,0.12072477342619925
