split,model,k_frac,k,base_rate,conversion_rate_contacted,precision_at_k,lift_at_k
month_aware,GradientBoosting,0.05,278,0.19314306228684258,0.7230215827338129,0.7230215827338129,3.743450964135754
month_aware,GradientBoosting,0.1,557,0.19314306228684258,0.6463195691202872,0.6463195691202872,3.3463255758077324
month_aware,GradientBoosting,0.2,1114,0.19314306228684258,0.5278276481149012,0.5278276481149012,2.7328325535763147
month_aware,CatBoost,0.05,278,0.19314306228684258,0.7553956834532374,0.7553956834532374,3.9110681714851165
month_aware,CatBoost,0.1,557,0.19314306228684258,0.6750448833034112,0.6750448833034112,3.495051156954743
month_aware,CatBoost,0.2,1114,0.19314306228684258,0.5368043087971275,0.5368043087971275,2.7793092976847555
month_aware,KNN,0.05,278,0.19314306228684258,0.7410071942446043,0.7410071942446043,3.8365716348854
month_aware,KNN,0.1,557,0.19314306228684258,0.6499102333931778,0.6499102333931778,3.364916273451109
month_aware,KNN,0.2,1114,0.19314306228684258,0.526032315978456,0.526032315978456,2.723537204754627
month_aware,RandomForest,0.05,278,0.19314306228684258,0.7482014388489209,0.7482014388489209,3.8738199031852583
month_aware,RandomForest,0.1,557,0.19314306228684258,0.6894075403949731,0.6894075403949731,3.5694139475282483
month_aware,RandomForest,0.2,1114,0.19314306228684258,0.5377019748653501,0.5377019748653501,2.7839569720956
month_aware,XGBoost,0.05,278,0.19314306228684258,0.7158273381294964,0.7158273381294964,3.7062026958358962
month_aware,XGBoost,0.1,557,0.19314306228684258,0.651705565529623,0.651705565529623,3.374211622272797
month_aware,XGBoost,0.2,1114,0.19314306228684258,0.5394973070017953,0.5394973070017953,2.7932523209172877
random,GradientBoosting,0.05,411,0.11264870114105366,0.7250608272506083,0.7250608272506083,6.436477472942361
random,GradientBoosting,0.1,823,0.11264870114105366,0.5808019441069259,0.5808019441069259,5.155868982276783
random,GradientBoosting,0.2,1647,0.11264870114105366,0.37947783849423194,0.37947783849423194,3.368683656805477
random,CatBoost,0.05,411,0.11264870114105366,0.7007299270072993,0.7007299270072993,6.220488295997987
random,CatBoost,0.1,823,0.11264870114105366,0.5637910085054678,0.5637910085054678,5.004860267314702
random,CatBoost,0.2,1647,0.11264870114105366,0.37644201578627806,0.37644201578627806,3.3417341875510327
random,KNN,0.05,411,0.11264870114105366,0.6520681265206812,0.6520681265206812,5.788509942109237
random,KNN,0.1,823,0.11264870114105366,0.5394896719319563,0.5394896719319563,4.789133531654586
random,KNN,0.2,1647,0.11264870114105366,0.3825136612021858,0.3825136612021858,3.3956331260599204
random,RandomForest,0.05,411,0.11264870114105366,0.7420924574209246,0.7420924574209246,6.587669896803423
random,RandomForest,0.1,823,0.11264870114105366,0.5893074119076549,0.5893074119076549,5.231373339757824
random,RandomForest,0.2,1647,0.11264870114105366,0.3958712811171828,0.3958712811171828,3.5142107907794737
random,XGBoost,0.05,411,0.11264870114105366,0.7128953771289538,0.7128953771289538,6.328482884470174
random,XGBoost,0.1,823,0.11264870114105366,0.574726609963548,0.574726609963548,5.101937298361754
random,XGBoost,0.2,1647,0.11264870114105366,0.381906496660595,0.381906496660595,3.390243232209032
