feature,mean_abs_shap
num__nr.employed,1.8613532325672744
num__pdays,0.8614035463085888
num__cons.conf.idx,0.28997859447851015
num__euribor3m,0.20812445733987067
num__age,0.16463936158143183
cat__poutcome_success,0.15121560288440683
cat__contact_cellular,0.08981341195958846
cat__contact_telephone,0.08148949359643312
cat__poutcome_failure,0.06934259642488273
num__cons.price.idx,0.06568285515720398
cat__day_of_week_wed,0.05560239014456903
num__campaign,0.048447806707902004
cat__day_of_week_mon,0.04771716942315285
num__previous,0.040031696914224396
num__emp.var.rate,0.03849786532348305
cat__default_no,0.03844693511817391
cat__loan_no,0.021785190527170078
cat__job_student,0.016585875948131202
cat__poutcome_nonexistent,0.01405406027398909
cat__education_university.degree,0.012838284184766761
cat__day_of_week_thu,0.0093218026759918
cat__month_jul,0.009160483278390986
cat__education_basic.4y,0.00894864890351796
cat__day_of_week_fri,0.008583914945683311
cat__day_of_week_tue,0.008392352430833402
cat__job_admin.,0.008220599920026186
cat__month_apr,0.006627617273968229
cat__education_basic.6y,0.006026055176017521
cat__default_unknown,0.005131871931560861
cat__housing_yes,0.00459620653850143
cat__housing_no,0.004576233745136099
cat__job_retired,0.004468562550795179
cat__month_aug,0.004433712444729354
cat__month_jun,0.0042068613772454685
cat__education_professional.course,0.004000548641739129
cat__marital_single,0.0031664984183215035
cat__month_mar,0.003006218164666404
cat__job_housemaid,0.0023791169378358772
cat__job_technician,0.00230237419916947
cat__loan_yes,0.0020403901813714543
cat__job_unknown,0.0020010384093416844
cat__education_unknown,0.001948385796666123
cat__education_basic.9y,0.0017396904683378313
cat__loan_unknown,0.0011597463077008536
cat__marital_unknown,0.0007463933534479928
cat__job_blue-collar,0.0007124086463568583
cat__job_entrepreneur,0.0004173221449387714
cat__education_high.school,0.0002829235819770934
cat__job_unemployed,0.00027409067878368453
cat__job_services,0.00014801072424853488
cat__marital_married,0.0001450773029660715
cat__month_may,7.929410222251769e-05
cat__marital_divorced,6.255662512661076e-05
cat__education_illiterate,1.6680326926326254e-05
cat__housing_unknown,1.2425137653277686e-05
cat__job_management,1.2224348998306054e-05
cat__job_self-employed,0.0
cat__default_yes,0.0
