feature,mean_abs_shap
num__nr.employed,1.2512325348988413
num__pdays,0.831374534012402
num__euribor3m,0.4793136813677263
cat__poutcome_success,0.3921705236726221
num__cons.conf.idx,0.19396415129079803
num__age,0.1564741320786338
cat__contact_telephone,0.13070058567774842
cat__contact_cellular,0.11619386872748112
num__emp.var.rate,0.08709483559026843
cat__poutcome_failure,0.05038693780006258
cat__day_of_week_mon,0.04445621114543299
cat__month_may,0.04440304910109769
num__previous,0.042695090071129635
num__campaign,0.04249961839269975
cat__day_of_week_wed,0.03085660882585009
num__cons.price.idx,0.029649725869764845
cat__default_no,0.029323618117501053
cat__day_of_week_thu,0.02603371540749755
cat__job_admin.,0.020079199816994416
cat__education_university.degree,0.01643820633869181
cat__loan_no,0.015851322274669677
cat__day_of_week_fri,0.015823916197790177
cat__housing_yes,0.015193602738781434
cat__default_unknown,0.01450892097235819
cat__job_technician,0.013954912021682447
cat__education_unknown,0.012989708161923496
cat__job_student,0.012916850784160421
cat__marital_married,0.010843705018353276
cat__day_of_week_tue,0.010762391926577474
cat__job_retired,0.010517001605319088
cat__job_blue-collar,0.01010249260911502
cat__poutcome_nonexistent,0.010002016669623364
cat__marital_single,0.00724172177123513
cat__month_apr,0.006754453124234401
cat__education_high.school,0.006483153729597481
cat__housing_no,0.006347277373062329
cat__month_mar,0.006046888770124652
cat__education_professional.course,0.005631718044300402
cat__month_aug,0.0046833752019115596
cat__education_basic.4y,0.004125304521377641
cat__marital_divorced,0.004064816454360231
cat__month_jul,0.003998093773808546
cat__job_unknown,0.0039196699954237085
cat__loan_yes,0.003644687958258885
cat__job_services,0.0026279798782539213
cat__month_jun,0.0025980841505350524
cat__job_self-employed,0.0023551113813992993
cat__education_basic.6y,0.0022735914290888948
cat__housing_unknown,0.0017936983323521922
cat__job_management,0.0014788173564525555
cat__loan_unknown,0.0014615923689078887
cat__job_unemployed,0.0013711472024843358
cat__job_entrepreneur,0.000989623260516887
cat__marital_unknown,0.0003077063449800312
cat__education_illiterate,3.0110026733557033e-05
cat__default_yes,0.0
cat__education_basic.9y,0.0
cat__job_housemaid,0.0
