age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y_true,y_score
65,retired,married,basic.4y,no,yes,no,cellular,oct,wed,1,3,3,success,-1.1,94.601,-49.5,1.043,4963.6,1,0.9205620258499541
81,retired,divorced,basic.4y,no,no,no,cellular,sep,wed,2,7,1,success,-1.1,94.199,-37.5,0.886,4963.6,1,0.9196147973217818
65,retired,married,basic.4y,no,yes,yes,cellular,oct,wed,1,3,3,success,-1.1,94.601,-49.5,0.985,4963.6,1,0.9141892885011716
60,admin.,married,unknown,no,no,no,cellular,nov,tue,1,7,2,success,-1.1,94.767,-50.8,1.046,4963.6,1,0.9090187659348519
54,admin.,married,high.school,no,no,no,cellular,oct,wed,2,6,2,success,-1.1,94.601,-49.5,0.985,4963.6,1,0.9040378799900953
59,admin.,divorced,high.school,no,no,no,cellular,nov,thu,3,3,2,success,-1.1,94.767,-50.8,1.05,4963.6,1,0.9015453751555405
62,admin.,married,high.school,no,no,no,cellular,oct,tue,1,4,3,success,-1.1,94.601,-49.5,1.037,4963.6,1,0.9010954093131419
57,admin.,married,university.degree,no,unknown,unknown,cellular,oct,wed,2,3,2,success,-1.1,94.601,-49.5,0.959,4963.6,1,0.8993832556484022
60,blue-collar,married,basic.4y,no,yes,no,cellular,nov,tue,2,4,1,success,-1.1,94.767,-50.8,1.035,4963.6,0,0.8943818701804466
70,retired,married,professional.course,no,no,no,cellular,oct,thu,1,6,3,success,-1.1,94.601,-49.5,0.987,4963.6,1,0.8940367944040137
85,retired,married,basic.4y,no,no,no,cellular,sep,tue,1,3,2,success,-1.1,94.199,-37.5,0.881,4963.6,1,0.893838892094325
67,housemaid,divorced,professional.course,no,yes,no,cellular,nov,mon,2,5,5,success,-1.1,94.767,-50.8,1.039,4963.6,1,0.8922950366326489
62,retired,married,university.degree,no,no,no,cellular,nov,thu,2,6,3,success,-1.1,94.767,-50.8,1.031,4963.6,1,0.8857416817632318
82,housemaid,married,basic.4y,no,no,no,telephone,sep,tue,3,3,2,success,-1.1,94.199,-37.5,0.877,4963.6,1,0.8856088138985223
66,retired,married,basic.4y,unknown,unknown,unknown,cellular,oct,wed,1,6,3,success,-1.1,94.601,-49.5,0.985,4963.6,1,0.8847693711955553
54,services,divorced,high.school,no,yes,yes,cellular,oct,wed,4,3,1,success,-1.1,94.601,-49.5,1.016,4963.6,1,0.8839194504265109
35,admin.,married,university.degree,no,no,no,cellular,oct,wed,1,3,2,success,-1.1,94.601,-49.5,0.985,4963.6,1,0.8795382082926995
34,admin.,married,university.degree,no,no,no,cellular,nov,wed,1,3,3,success,-1.1,94.767,-50.8,1.048,4963.6,0,0.8795382082926995
63,admin.,married,university.degree,no,yes,no,cellular,oct,thu,2,6,1,success,-1.1,94.601,-49.5,0.987,4963.6,0,0.8783379064813468
65,retired,married,basic.4y,no,no,no,cellular,oct,fri,2,7,3,success,-1.1,94.601,-49.5,0.993,4963.6,1,0.876499739913584
69,retired,married,high.school,no,yes,yes,cellular,sep,wed,1,6,2,success,-1.1,94.199,-37.5,0.886,4963.6,1,0.8736098414465563
30,management,married,university.degree,no,no,yes,cellular,oct,wed,1,6,1,success,-1.1,94.601,-49.5,1.043,4963.6,1,0.8733977201094887
23,student,single,high.school,no,no,no,cellular,oct,wed,1,3,1,success,-1.1,94.601,-49.5,1.043,4963.6,0,0.8730985911450923
37,technician,single,professional.course,no,yes,no,cellular,nov,wed,1,6,4,success,-1.1,94.767,-50.8,1.044,4963.6,1,0.8714586958143843
19,student,single,basic.4y,no,yes,no,cellular,sep,wed,2,6,3,success,-1.1,94.199,-37.5,0.876,4963.6,1,0.8700301003087529
54,admin.,married,professional.course,no,no,no,cellular,nov,tue,2,10,1,success,-1.1,94.767,-50.8,1.035,4963.6,1,0.8696837934718511
63,retired,married,basic.4y,no,yes,no,cellular,nov,fri,1,3,2,success,-1.1,94.767,-50.8,1.049,4963.6,1,0.8696836560838961
59,admin.,married,university.degree,no,no,yes,cellular,sep,wed,1,3,1,success,-1.1,94.199,-37.5,0.886,4963.6,1,0.8692537074979529
86,retired,married,unknown,unknown,yes,yes,cellular,sep,tue,1,7,4,success,-1.1,94.199,-37.5,0.877,4963.6,1,0.8683467925978131
51,admin.,divorced,high.school,no,yes,no,cellular,nov,tue,1,3,7,success,-1.1,94.767,-50.8,1.049,4963.6,0,0.86570860180171
50,blue-collar,divorced,professional.course,no,yes,no,cellular,nov,tue,2,9,3,success,-1.1,94.767,-50.8,1.049,4963.6,0,0.8645309825705523
81,retired,divorced,basic.4y,no,yes,no,cellular,oct,thu,2,3,2,success,-1.1,94.601,-49.5,0.987,4963.6,0,0.8629155340466613
32,technician,married,professional.course,no,no,no,cellular,oct,wed,1,3,1,success,-1.1,94.601,-49.5,0.959,4963.6,1,0.8611481641137348
51,admin.,married,university.degree,no,yes,yes,cellular,oct,thu,3,3,1,success,-1.1,94.601,-49.5,0.965,4963.6,1,0.8590391621874929
84,retired,divorced,basic.4y,unknown,yes,yes,cellular,oct,mon,4,3,1,success,-1.1,94.601,-49.5,1.0,4963.6,0,0.8571517789490992
31,student,single,unknown,no,unknown,unknown,cellular,sep,wed,2,6,2,success,-1.1,94.199,-37.5,0.88,4963.6,1,0.856346629929388
37,housemaid,married,university.degree,no,no,no,cellular,oct,thu,1,6,2,success,-1.1,94.601,-49.5,1.025,4963.6,1,0.8554670550582372
41,technician,married,professional.course,no,no,no,cellular,oct,wed,2,27,1,success,-1.1,94.601,-49.5,0.959,4963.6,1,0.852748248495224
60,retired,married,high.school,no,no,no,cellular,sep,wed,1,6,1,success,-1.1,94.199,-37.5,0.876,4963.6,1,0.8519131288175834
48,technician,married,professional.course,no,no,no,cellular,oct,thu,1,6,3,success,-1.1,94.601,-49.5,0.987,4963.6,1,0.8504292440439022
84,retired,divorced,unknown,unknown,no,no,cellular,sep,tue,1,3,2,success,-1.1,94.199,-37.5,0.877,4963.6,1,0.8490223817014183
