age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y_true,y_score
82,housemaid,married,basic.4y,no,no,no,telephone,sep,tue,3,3,2,success,-1.1,94.199,-37.5,0.877,4963.6,1,0.9467953093073926
81,retired,divorced,basic.4y,no,no,no,cellular,sep,wed,2,7,1,success,-1.1,94.199,-37.5,0.886,4963.6,1,0.9285454807995048
59,admin.,divorced,high.school,no,no,no,cellular,nov,thu,3,3,2,success,-1.1,94.767,-50.8,1.05,4963.6,1,0.9219520851847788
62,admin.,married,high.school,no,no,no,cellular,oct,tue,1,4,3,success,-1.1,94.601,-49.5,1.037,4963.6,1,0.9172787709087098
85,retired,married,basic.4y,no,no,no,cellular,sep,tue,1,3,2,success,-1.1,94.199,-37.5,0.881,4963.6,1,0.9092233213576009
69,retired,married,high.school,no,yes,yes,cellular,sep,wed,1,6,2,success,-1.1,94.199,-37.5,0.886,4963.6,1,0.9088552206987958
41,admin.,married,unknown,no,no,no,cellular,sep,wed,1,7,3,success,-1.1,94.199,-37.5,0.886,4963.6,1,0.8990429985002223
84,retired,divorced,unknown,unknown,no,no,cellular,sep,tue,1,3,2,success,-1.1,94.199,-37.5,0.877,4963.6,1,0.8967915406240491
48,technician,married,professional.course,no,no,no,cellular,oct,thu,1,6,3,success,-1.1,94.601,-49.5,0.987,4963.6,1,0.8918221121210496
60,admin.,married,unknown,no,no,no,cellular,nov,tue,1,7,2,success,-1.1,94.767,-50.8,1.046,4963.6,1,0.8914969918147759
74,retired,married,university.degree,no,yes,no,cellular,oct,fri,2,3,2,success,-1.1,94.601,-49.5,0.993,4963.6,0,0.8888977314249313
65,retired,married,basic.4y,no,yes,no,cellular,oct,wed,1,3,3,success,-1.1,94.601,-49.5,1.043,4963.6,1,0.8878928243193259
62,retired,married,university.degree,no,yes,no,cellular,nov,thu,1,1,6,success,-1.1,94.767,-50.8,1.031,4963.6,1,0.8869868334127052
86,retired,married,unknown,unknown,yes,yes,cellular,sep,tue,1,7,4,success,-1.1,94.199,-37.5,0.877,4963.6,1,0.8830848227537441
66,retired,married,unknown,no,yes,no,cellular,sep,tue,2,6,1,success,-1.1,94.199,-37.5,0.881,4963.6,1,0.8825632825745636
32,services,single,university.degree,no,yes,no,cellular,sep,thu,1,6,3,success,-1.1,94.199,-37.5,0.884,4963.6,1,0.8818564874123637
81,retired,divorced,basic.4y,no,yes,no,cellular,oct,thu,2,3,2,success,-1.1,94.601,-49.5,0.987,4963.6,0,0.8785202719995828
57,admin.,married,university.degree,no,unknown,unknown,cellular,oct,wed,2,3,2,success,-1.1,94.601,-49.5,0.959,4963.6,1,0.8764948625868315
82,retired,divorced,basic.4y,no,yes,no,cellular,nov,tue,2,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,1,0.8758115953144265
63,retired,married,basic.4y,no,yes,no,cellular,nov,fri,1,3,2,success,-1.1,94.767,-50.8,1.049,4963.6,1,0.8725444686282896
63,admin.,married,university.degree,no,yes,no,cellular,oct,thu,2,6,1,success,-1.1,94.601,-49.5,0.987,4963.6,0,0.871745434326927
34,technician,married,unknown,no,no,no,cellular,nov,tue,1,6,2,success,-1.1,94.767,-50.8,1.046,4963.6,1,0.8711975616085423
